Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2015-09-29 02:27:28;2015-09-29 09:48:51;86%;7:21;;;;3722
2015-09-30 02:01:24;2015-09-30 06:30:21;41%;4:28;;;;3818
2015-09-30 06:30:51;2015-09-30 06:53:25;5%;0:22;;;;0
2015-10-01 00:38:22;2015-10-01 09:21:43;99%;8:43;;;;2555
2015-10-02 04:29:01;2015-10-02 07:58:32;32%;3:29;;;;3958
2015-10-04 02:30:33;2015-10-04 12:01:37;91%;9:31;;;;4376
2015-10-05 02:56:35;2015-10-05 10:00:49;81%;7:04;;;;3324
2015-10-06 03:37:19;2015-10-06 10:30:22;69%;6:53;;;;5406
2015-10-07 03:18:29;2015-10-07 10:28:02;71%;7:09;;;;2478
2015-10-08 02:04:05;2015-10-08 07:49:00;58%;5:44;;;;3855
2015-10-08 08:36:31;2015-10-08 08:53:20;4%;0:16;;;;0
2015-10-09 02:05:07;2015-10-09 09:01:25;74%;6:56;;;;3944
2015-10-10 04:09:46;2015-10-10 10:56:36;61%;6:46;;;;3800
2015-10-10 23:58:43;2015-10-11 09:02:48;97%;9:04;;;;3180
2015-10-12 04:07:05;2015-10-12 09:11:45;48%;5:04;;;;5099
2015-10-13 00:12:35;2015-10-13 08:57:56;84%;8:45;;;;3363
2015-10-14 01:10:50;2015-10-14 08:54:30;87%;7:43;;;;2792
2015-10-14 23:42:41;2015-10-15 08:02:53;75%;8:20;;;;4592
2015-10-16 00:27:28;2015-10-16 08:39:24;86%;8:11;;;;3334
2015-10-17 02:54:55;2015-10-17 08:49:48;68%;5:54;;;;1073
2015-10-18 04:50:41;2015-10-18 12:16:10;82%;7:25;;;;4367
2015-10-19 02:50:36;2015-10-19 10:04:59;81%;7:14;;;;2680
2015-10-20 03:19:00;2015-10-20 09:55:12;82%;6:36;;;;1617
2015-10-21 00:31:06;2015-10-21 09:34:41;89%;9:03;;;;2116
2015-10-22 00:38:51;2015-10-22 08:36:13;84%;7:57;;;;2355
2015-10-23 01:19:57;2015-10-23 09:23:35;90%;8:03;;;;4385
2015-10-24 21:35:23;2015-10-25 09:44:16;55%;12:08;;;;1296
2015-10-26 03:08:03;2015-10-26 09:53:46;61%;6:45;;;;5665
2015-10-27 00:13:26;2015-10-27 09:29:42;94%;9:16;;;;2808
2015-10-28 01:36:11;2015-10-28 09:43:31;77%;8:07;;;;2083
2015-10-29 01:55:00;2015-10-29 09:40:33;85%;7:45;;;;2985
2015-10-31 04:57:25;2015-10-31 10:26:22;63%;5:28;;;;5875
2015-11-03 01:25:30;2015-11-03 08:51:39;84%;7:26;;;;2972
2015-11-04 02:25:46;2015-11-04 09:01:51;79%;6:36;;;;3837
2015-11-05 03:43:23;2015-11-05 08:39:30;61%;4:56;;;;3388
2015-11-06 02:44:15;2015-11-06 08:58:01;58%;6:13;;;;2614
2015-11-07 02:49:39;2015-11-07 09:30:01;76%;6:40;;;;3487
2015-11-08 03:24:13;2015-11-08 12:50:13;90%;9:25;;;;5628
2015-11-09 01:10:52;2015-11-09 08:53:40;73%;7:42;;;;4113
2015-11-10 02:12:38;2015-11-10 08:54:42;77%;6:42;;;;2701
2015-11-11 02:50:09;2015-11-11 09:02:28;73%;6:12;;;;7511
2015-11-17 02:59:04;2015-11-17 08:57:48;60%;5:58;;;;4106
2015-11-18 06:15:15;2015-11-18 08:58:58;32%;2:43;;;;336
2015-11-19 05:48:55;2015-11-19 09:43:55;43%;3:54;;;;3130
2015-11-20 01:53:25;2015-11-20 09:57:28;79%;8:04;;;;3177
2015-11-23 05:19:03;2015-11-23 07:41:56;23%;2:22;;;;4716
2015-11-24 03:07:17;2015-11-24 09:01:40;66%;5:54;;;;727
2015-11-25 02:28:29;2015-11-25 08:55:51;64%;6:27;;;;3561
2015-11-26 04:20:09;2015-11-26 10:39:02;67%;6:18;;;;5254
2015-11-27 05:43:01;2015-11-27 14:30:02;91%;8:47;;;;5042
2015-11-28 03:56:47;2015-11-28 11:24:03;76%;7:27;;;;2128
2015-11-29 05:01:21;2015-11-29 11:05:11;65%;6:03;;;;4006
2015-11-30 05:28:24;2015-11-30 08:02:39;33%;2:34;;;;6723
2015-12-02 00:36:50;2015-12-02 08:58:50;82%;8:21;;;;2880
2015-12-03 04:47:59;2015-12-03 11:13:47;65%;6:25;;;;2419
2015-12-04 02:21:17;2015-12-04 09:01:37;76%;6:40;;;;1467
2015-12-06 04:51:15;2015-12-06 12:55:56;72%;8:04;;;;5070
2015-12-07 01:06:30;2015-12-07 08:41:49;87%;7:35;;;;4354
2015-12-08 01:55:43;2015-12-08 08:51:14;74%;6:55;;;;2140
2015-12-09 01:56:46;2015-12-09 09:01:04;77%;7:04;;;;2683
2015-12-11 02:52:12;2015-12-11 08:52:55;69%;6:00;;;;2556
2015-12-14 02:01:08;2015-12-14 08:42:29;75%;6:41;;;;2476
2015-12-16 03:00:32;2015-12-16 09:00:28;71%;5:59;;;;4555
2015-12-17 01:40:53;2015-12-17 08:57:42;75%;7:16;;;;2259
2015-12-18 02:04:40;2015-12-18 08:00:56;63%;5:56;;;;4538
2015-12-20 03:27:43;2015-12-20 12:51:15;39%;9:23;;;;2797
2015-12-21 00:51:17;2015-12-21 07:57:02;77%;7:05;;;;2258
2015-12-22 03:39:45;2015-12-22 08:57:28;60%;5:17;;;;2963
2015-12-24 05:33:47;2015-12-24 10:50:06;68%;5:16;;;;2183
2015-12-25 06:16:20;2015-12-25 11:57:04;68%;5:40;;;;0
2015-12-26 02:29:48;2015-12-26 09:44:56;74%;7:15;;;;2649
2015-12-28 02:00:49;2015-12-28 09:52:51;74%;7:52;;;;809
2015-12-29 03:26:45;2015-12-29 11:31:35;92%;8:04;;;;779
2015-12-30 03:01:56;2015-12-30 12:28:07;93%;9:26;;;;768
2015-12-31 04:42:22;2015-12-31 12:14:42;64%;7:32;;;;1333
2016-01-03 05:49:18;2016-01-03 12:00:08;60%;6:10;;;;502
2016-01-05 01:20:29;2016-01-05 08:59:59;81%;7:39;;;;1696
2016-01-06 01:08:11;2016-01-06 09:01:23;40%;7:53;;;;1301
2016-01-07 03:37:33;2016-01-07 10:58:32;83%;7:20;;;;2322
2016-01-08 04:42:43;2016-01-08 09:52:14;61%;5:09;;;;643
2016-01-09 05:12:42;2016-01-09 07:14:20;22%;2:01;;;;1174
2016-01-11 03:16:30;2016-01-11 10:00:32;73%;6:44;;;;521
2016-01-12 02:59:15;2016-01-12 09:47:16;73%;6:48;;;;963
2016-01-12 09:47:32;2016-01-12 10:18:20;6%;0:30;;;;0
2016-01-13 05:39:52;2016-01-13 09:59:11;34%;4:19;;;;399
2016-01-14 06:55:11;2016-01-14 10:47:37;44%;3:52;;;;0
2016-01-15 08:01:49;2016-01-15 12:51:32;48%;4:49;;;;174
2016-01-16 08:45:02;2016-01-16 12:07:18;38%;3:22;;;;0
2016-01-18 04:56:29;2016-01-18 12:06:09;78%;7:09;;;;1413
2016-01-19 02:19:27;2016-01-19 09:52:28;81%;7:33;;;;372
2016-01-20 01:21:31;2016-01-20 10:14:12;95%;8:52;;;;1366
2016-01-21 02:45:41;2016-01-21 09:45:31;78%;6:59;;;;1683
2016-01-22 01:34:57;2016-01-22 07:23:10;66%;5:48;;;;2661
2016-01-24 00:39:19;2016-01-24 09:14:16;99%;8:34;;;;4055
2016-01-25 01:49:19;2016-01-25 08:28:42;73%;6:39;;;;2782
2016-01-26 01:00:22;2016-01-26 08:21:54;84%;7:21;;;;8553
2016-01-27 00:19:15;2016-01-27 08:33:55;84%;8:14;;;;5796
2016-01-27 23:23:39;2016-01-28 08:40:21;90%;9:16;;;;4495
2016-01-28 23:24:41;2016-01-29 09:31:01;78%;10:06;;;;2623
2016-01-31 04:02:35;2016-01-31 11:13:16;64%;7:10;;;;2382
2016-02-01 01:35:55;2016-02-01 10:03:45;94%;8:27;;;;1125
2016-02-02 01:03:53;2016-02-02 08:49:35;84%;7:45;;;;3489
2016-02-03 01:39:44;2016-02-03 09:41:46;88%;8:02;;;;2629
2016-02-04 02:04:52;2016-02-04 08:53:04;72%;6:48;;;;5550
2016-02-05 01:09:21;2016-02-05 09:22:55;68%;8:13;;;;5255
2016-02-06 05:15:58;2016-02-06 11:53:56;66%;6:37;;;;3693
2016-02-07 05:12:25;2016-02-07 11:22:08;60%;6:09;;;;4852
2016-02-08 01:38:10;2016-02-08 09:28:46;71%;7:50;;;;1251
2016-02-09 01:41:54;2016-02-09 08:45:50;64%;7:03;;;;3728
2016-02-10 01:32:55;2016-02-10 09:11:21;80%;7:38;;;;2892
2016-02-11 01:15:40;2016-02-11 08:49:25;78%;7:33;;;;5655
2016-02-12 01:06:59;2016-02-12 09:11:15;81%;8:04;;;;3188
2016-02-15 01:28:08;2016-02-15 09:15:11;76%;7:47;;;;3287
2016-02-15 23:47:40;2016-02-16 09:07:36;97%;9:19;;;;4218
2016-02-17 00:55:50;2016-02-17 08:49:29;87%;7:53;;;;3110
2016-02-17 23:29:11;2016-02-18 08:17:52;91%;8:48;;;;5313
2016-02-19 01:37:49;2016-02-19 08:20:51;72%;6:43;;;;2818
2016-02-20 05:45:29;2016-02-20 10:20:12;54%;4:34;;;;3800
2016-02-21 00:40:15;2016-02-21 10:29:22;99%;9:49;;;;1110
2016-02-22 00:50:53;2016-02-22 08:51:13;88%;8:00;;;;1950
2016-02-23 02:13:16;2016-02-23 09:06:32;75%;6:53;;;;2054
2016-02-24 00:47:21;2016-02-24 09:29:43;92%;8:42;;;;1140
2016-02-25 00:50:01;2016-02-25 08:41:31;89%;7:51;;;;5362
2016-02-26 05:02:17;2016-02-26 09:33:42;51%;4:31;;;;2813
2016-02-27 03:50:24;2016-02-27 10:27:53;67%;6:37;;;;2754
2016-02-28 03:08:56;2016-02-28 08:35:41;59%;5:26;;;;1982
2016-02-28 23:20:26;2016-02-29 09:15:22;87%;9:54;;;;2490
2016-03-01 01:01:38;2016-03-01 09:01:22;79%;7:59;;;;4170
