Start,StartInMin,End,EndInMin,SleepQuality,DurationInHourMin,DurationInMins,WakeUpFace,WakeUpClass,HeartRate,Activity (Steps)
7/6/2016 4:05,245.00,7/6/16 7:31 AM,451.00,0.41,0.1424,205,:|,0,60,3408
7/6/2016 23:17,1397.00,7/7/16 7:09 AM,429.00,0.75,0.3278,472,:),1,78,2186
7/7/2016 23:11,1391.00,7/8/16 7:28 AM,448.00,0.85,0.3444,496,:|,0,78,3454
7/9/2016 1:05,65.00,7/9/16 9:36 AM,576.00,0.75,0.3542,510,:),1,72,2790
7/10/2016 23:34,1414.00,7/11/16 7:28 AM,448.00,0.77,0.3285,473,:|,0,62,1530
7/11/2016 23:15,1395.00,7/12/16 7:28 AM,448.00,0.86,0.3424,493,:|,0,69,2900
7/12/2016 23:48,1428.00,7/13/16 7:29 AM,449.00,0.71,0.3194,460,:|,0,63,1690
7/14/2016 0:32,32.00,7/14/16 7:29 AM,449.00,0.76,0.2889,416,:|,0,82,2034
7/14/2016 23:26,1406.00,7/15/16 7:25 AM,445.00,0.83,0.3326,479,:(,-1,64,2006
7/16/2016 2:32,152.00,7/16/16 9:13 AM,553.00,0.64,0.2778,400,:),1,76,3392
7/17/2016 4:00,240.00,7/17/16 11:26 AM,686.00,0.34,0.3097,446,:),1,68,3030
7/17/2016 22:40,1360.00,7/18/16 7:27 AM,447.00,0.81,0.366,527,:),1,88,1510
7/19/2016 0:13,13.00,7/19/16 7:25 AM,445.00,0.69,0.2993,431,:|,0,73,2030
7/19/2016 23:16,1396.00,7/20/16 7:25 AM,445.00,0.84,0.3389,488,:|,0,82,4778
7/20/2016 23:28,1408.00,7/21/16 7:25 AM,445.00,0.83,0.3313,477,:|,0,60,3096
7/22/2016 1:05,65.00,7/22/16 7:39 AM,459.00,0.67,0.2736,394,:|,0,93,4756
7/23/2016 1:30,90.00,7/23/16 9:55 AM,595.00,0.76,0.3507,505,:),1,78,1547
7/24/2016 7:22,442.00,7/24/16 10:36 AM,636.00,0.14,0.1347,194,:|,0,99,73
